"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","登录与退出","0","登录成功","0","0","邮箱登陆成功","0"
"0","设备设置","0","摄像头灯光照明开启验证","1","0","","0"
"0","个人设置","0","资料设置页面","1","0","进入隐私声明页面","0"
"2","报警通知","0","提醒间隔测试","0","0","","0"
"3","摄像头设置","0","编辑设备名称","0","0","编辑后验证回显","0"
"1","首页操作","0","首页摄像头开关","0","0","开启摄像头","0"
"0","报警通知","0","强提醒开关验证","1","0","强提醒开关切换测试-执行第2次","0"
"0","首页操作","1","首页消息按钮","1","0","","0"
"0","首页操作","1","首页云按钮","0","0","","0"
"0","云台控制","0","视频出图","5","0","视频出图稳定性","0"
"2","报警通知","0","微信通知开关验证","0","0","","0"
"1","设备设置","0","音频采集模式切换测试","0","0","","0"
"0","云台控制","0","视频流基本操作","1","0","验证视频流录制五秒视频","0"
"1","报警通知","0","强提醒全屏提醒","1","0","","0"
"2","设备设置","0","摄像头双光源模式验证","0","0","","0"
"0","我的页面","0","订单页面","1","0","兑换云服务","0"
"0","登录与退出","0","登录成功","1","0","手机登陆成功","0"
"0","随机事件测试","0","猴子测试","1","0","","0"
"0","个人设置","0","资料设置页面","2","0","更新昵称","0"
"1","设备设置","0","摄像头关闭功能验证","0","0","","0"
"0","云台控制","0","云台基本操作","1","0","验证云台基本移动","0"
"2","报警通知","0","系统通知开关切换测试","0","0","","0"
"2","报警通知","0","短信报警开关验证","0","0","","0"
"0","设备设置","0","视频流播放模式切换测试","1","0","沉浸模式","0"
"0","登录与退出","0","登录失败","4","0","手机登陆失败验证页面","0"
"1","摄像头设置","0","删除第二台设备","0","0","","0"
"3","登录与退出","0","登录失败","0","0","邮箱登陆失败验证页面","0"
"0","个人设置","0","资料设置页面","1","0","获取当前活动","0"
"0","云台控制","0","视频流基本操作","1","0","视频流全屏模式","0"
"0","我的页面","0","页面验证","1","0","验证是否在我的页面","0"
"0","云台控制","0","云台基本操作","1","0","验证视频倍数滑动放大缩小","0"
"1","消息模块","0","下载第一条消息","0","0","","0"
"0","我的页面","0","订单页面","1","0","从我的页面跳转到订单页面","0"
"0","云台控制","0","视频流基本操作","1","0","视频流灯光控制模式","0"
"0","个人设置","0","资料设置页面","1","0","进入用户协议页面","0"
"0","个人设置","0","资料设置页面","1","0","进入个人信息收集页面","0"
"0","云台控制","0","云台基本操作","1","0","验证视频倍数放大缩小","0"
"1","首页操作","0","首页摄像头开关","0","0","关闭摄像头","0"
"1","首页操作","0","首页配网教程按钮","0","0","","0"
"0","云台控制","0","视频流基本操作","1","0","视频流播放模式","0"
"0","消息模块","1","检查是否停留在消息页面","0","0","","0"
"0","云台控制","0","视频出图","1","0","视频出图平均时间","0"
"0","云台控制","0","视频流基本操作","1","0","视频流数量","0"
"0","设备设置","1","摄像头翻转功能验证","1","0","","0"
"0","云台控制","0","视频流基本操作","1","0","视频流分辨率","0"
"0","首页操作","0","首页权益按钮","1","0","","0"
"0","云台控制","0","视频流基本操作","1","0","验证视频流截图","0"
"0","登录与退出","0","退出登录","1","0","登陆成功后退出","0"
"1","消息模块","0","全屏播放第一条消息","0","0","","0"
"1","设备设置","0","摄像头灯光照明关闭验证","0","0","","0"
"0","个人设置","0","资料设置页面","1","0","验证是否在个人资料页面","0"
"0","设备设置","0","视频流播放模式切换测试","1","0","单屏模式","0"
"1","报警通知","0","强提醒开关验证","0","0","","0"
"0","我的页面","0","页面跳转","1","0","从我的页面跳转到关于页面","0"
"0","设备设置","0","视频流播放模式切换测试","1","0","双屏模式","0"
"0","首页操作","0","首页添加多画面按钮","1","0","","0"
"1","设备设置","0","摄像头开启功能验证","0","0","","0"
"0","云台控制","0","检查是否停留在云台控制页面","1","0","","0"
"0","我的页面","0","视频管理","1","0","删除视频","0"
